Epoch,GCN,GGNN,GAT,GAAN
0,32.624,38.401,112.501,223.932
1,31.999,37.767,109.486,217.155
2,30.398,37.707,92.22,217.489
3,30.401,42.751,91.934,217.311
4,30.321,37.829,91.551,218.14
5,30.352,29.551,91.736,218.093
6,30.283,26.453,91.233,219.002
7,30.346,26.799,91.537,253.597
8,28.103,26.301,90.791,216.888
9,22.179,33.101,91.589,217.553
10,21.861,32.388,90.979,217.773
11,21.817,26.238,91.663,219.852
12,21.707,32.785,91.242,217.023
13,21.989,27.906,91.727,217.332
14,23.824,29.643,92.420 ,221.083
15,22.581,32.485,90.812,220.098
16,21.935,27.549,137.210 ,218.483
17,22.391,25.023,91.777,217.739
18,23.171,32.255,91.773,217.107
19,22.308,30.205,91.244,232.112
