,amazon-photo,pubmed,amazon-computers,coauthor-physics,flickr,com-amazon
gcn,0.34585874689561735,0.3032728035664575,0.36903387986853875,0.3741691616095743,0.3606610142257506,0.31408777072891725
ggnn,0.3129533739122187,0.30268498347085093,0.36110872710367337,0.3533493837912079,0.3168845481993283,0.2740986551690005
gat,0.23726433842044112,0.21147306886558284,0.25845565838425444,0.278984599629727,0.25326947094241353,0.2547106396230252
gaan,0.3483791475652452,0.3303968780871072,0.3377400610488829,,0.3252287645508037,0.27456876011225556
